"uuid","age_range","education_fields","education_level","employment","employment_fields","italian_knowledge"
"cb137daa-6790-4950-af3a-3be9fae8ff40","18-24","OTHER","HIGH","STUDENT","OTHER","B2"
"ccd575e2-9644-4e8d-bb4e-0e398fb0fd59","18-24","HUMANISTIC | JURIDICAL","BACHELOR","STUDENT","ADMINISTRATIVE | EDUCATION | ARTISTIC","B1"
"cf0bda5e-491b-4949-94b3-8359bb0831ba","35-44","OTHER","HIGH","EMPLOYEE","OTHER","M"
"d2039416-0280-4b9f-964e-b231cee7a0a3","25-34","ENGINEERING","BACHELOR","STUDENT","IT","M"
"d63c3e7a-edb5-456e-ae6f-60079273a6cc","35-44","JURIDICAL","BACHELOR","EMPLOYEE","OTHER","M"
"d6a18be2-121f-4ce1-ace0-a148aeb2dd82","18-24","OTHER","OTHER","STUDENT","OTHER","B2"
"d700fe51-973d-4482-afe2-221a960db782","18-24","OTHER","BACHELOR","STUDENT","OTHER","B2"
"d9a0dba9-0446-444f-82dc-30c6813fd6d1","55-64","JURIDICAL","MASTER","EMPLOYEE","ADMINISTRATIVE","M"
"d9dcb1b0-c916-481b-b33c-8bb0a5d81829","25-34","HUMANISTIC","MASTER","STUDENT","EDUCATION | ARTISTIC","M"
"da345199-c202-4773-b6c8-1d67786b067e","35-44","JURIDICAL","PHD","EMPLOYEE","ADMINISTRATIVE","M"
"dab5e6c2-deae-463c-a300-9901f00d365d","18-24","HUMANISTIC","HIGH","STUDENT","OTHER","B1"
"dfbc4a7b-e3b1-4435-a799-b4c209b3cb19","25-34","JURIDICAL","BACHELOR","EMPLOYEE","ADMINISTRATIVE","B2"
