id,participant_type,participant_group,duration,sessions,d1_reading_time,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d1_q6,d1_rate,d1_correctness,d1_insecurity,d1_insecurity_count,d2_reading_time,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d2_q6,d2_rate,d2_correctness,d2_insecurity,d2_insecurity_count,age_range,education_fields,education_level,employment,employment_fields,italian_knowledge,exclusion_reason
S5,FOREIGNER,C,237,1,7.81,3.0,3.0,1.0,3.0,2.0,4.0,5.0,1,False,0,100.69,4.0,1.0,1.0,4.0,2.0,2.0,5.0,2,False,0,18-24,OTHER,HIGH,STUDENT,ARTISTIC | OTHER,B1,LOW TIME
S50,FOREIGNER,B,520,2,63.773,3.0,1.0,4.0,1.0,3.0,3.0,3.0,2,False,0,50.088,2.0,4.0,3.0,1.0,5.0,5.0,4.0,1,True,2,18-24,ARTISTIC,BACHELOR,STUDENT,SALES | ARTISTIC,B2,LOW TIME
S51,FOREIGNER,B,898,1,328.242,3.0,4.0,1.0,3.0,1.0,1.0,4.0,3,False,0,36.04,2.0,3.0,1.0,2.0,1.0,1.0,4.0,3,False,0,18-24,JURIDICAL,HIGH,STUDENT,OTHER,B1,LOW READING TIME
S52,FOREIGNER,B,354,1,128.445,2.0,1.0,2.0,5.0,1.0,1.0,4.0,3,True,1,0.0,,,,,,,,0,False,0,18-24,HUMANISTIC,BACHELOR,STUDENT,OTHER,B1,DATA ERROR
S53,FOREIGNER,C,1632,1,265.064,4.0,1.0,3.0,2.0,4.0,1.0,5.0,2,False,0,664.59,1.0,3.0,2.0,5.0,4.0,1.0,4.0,2,True,1,18-24,OTHER,HIGH,STUDENT,OTHER,B1,
S54,FOREIGNER,B,1251,1,585.037,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4,False,0,267.502,2.0,3.0,2.0,1.0,3.0,,3.0,1,False,0,18-24,OTHER,BACHELOR,STUDENT,OTHER,B1,DATA ERROR
S55,FOREIGNER,A,1138,1,317.197,3.0,4.0,1.0,4.0,2.0,3.0,3.0,1,False,0,11.087,1.0,4.0,4.0,5.0,1.0,2.0,4.0,2,True,1,18-24,OTHER,BACHELOR,STUDENT,OTHER,B2,LOW READING TIME
S56,FOREIGNER,A,1171,1,372.437,1.0,3.0,2.0,1.0,1.0,1.0,4.0,4,False,0,25.217,2.0,3.0,1.0,2.0,1.0,1.0,4.0,3,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B2,LOW READING TIME
S57,FOREIGNER,C,1386,4,7.123,1.0,3.0,2.0,2.0,1.0,1.0,4.0,3,False,0,2393.976,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B2,LOW READING TIME
S58,FOREIGNER,D,1007,1,375.793,1.0,2.0,1.0,2.0,5.0,1.0,3.0,3,True,1,43.987,5.0,5.0,2.0,1.0,5.0,1.0,3.0,2,True,3,18-24,OTHER,HIGH,STUDENT,OTHER,B2,LOW READING TIME
