"id","event","timestamp","participant"
"203","d1 | hover | text","1719431388661","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"204","d1 | hover | text","1719431385640","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"205","d1 | leave | text","1719431387968","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"206","d1 | invisible | q2","1719431385153","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"207","d1 | invisible | q1","1719431388220","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"208","d1 | visible | q2","1719431387553","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"209","d1 | visible | q1","1719431351135","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"210","d2 | hover | text","1719431359680","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"211","d2 | hover | q2","1719431350508","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"212","d2 | hover | text","1719431339986","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"213","d2 | leave | text","1719431362881","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"214","d2 | invisible | q3","1719431350764","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"215","d2 | leave | text","1719431350508","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"216","d2 | visible | q3","1719431346502","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"217","d2 | invisible | q3","1719431371899","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"218","d2 | hover | text","1719431379416","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"219","d2 | invisible | q3","1719431376700","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"220","d2 | invisible | q3","1719431339765","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"221","d2 | visible | q4","1719431346502","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"222","d2 | invisible | q4","1719431350714","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"223","d2 | invisible | q3","1719431331164","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"224","d2 | visible | q3","1719431375216","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"225","d2 | hover | text","1719431350831","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"226","d2 | visible | q3","1719431332497","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"227","d2 | leave | q2","1719431350664","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"228","d2 | leave | text","1719431332748","cGlsb3RfcGFydGVjaXBhbnRlXzE="
